@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
-0.682415,1.405946,-0.616675,-0.2509,0.772467,0.181564,0,0,1
-0.688572,1.400217,-0.623897,-0.259995,0.783839,0.22744,0,0,1
-0.694799,1.394296,-0.632699,-0.269946,0.79796,0.282415,0,0,1
-0.701088,1.38819,-0.640668,-0.279476,0.814602,0.332846,0,0,1
-0.707441,1.381885,-0.64866,-0.289848,0.834004,0.388033,0,0,1
-0.713836,1.375404,-0.653924,-0.298832,0.855417,0.42826,0,0,1
-0.720276,1.368768,-0.659104,-0.306846,0.87856,0.46287,0,0,1
-0.726767,1.361969,-0.665151,-0.315329,0.903684,0.502467,0,0,1
-0.733313,1.354993,-0.671538,-0.324784,0.931118,0.548681,0,0,1
-0.739914,1.347825,-0.67791,-0.334939,0.961076,0.599179,0,0,1
-0.746571,1.340458,-0.684242,-0.345726,0.993758,0.653636,0,0,1
-0.753273,1.332897,-0.689195,-0.356093,1.028888,0.702599,0,0,0
-0.759985,1.325248,-0.689063,-0.360468,1.064015,0.70254,0,0,0
-0.766707,1.31751,-0.688928,-0.36484,1.099139,0.70248,0,0,0
-0.773438,1.309682,-0.688791,-0.369209,1.13426,0.70242,0,0,0
-0.780179,1.301764,-0.688651,-0.373575,1.169378,0.702361,0,0,0
-0.786931,1.293755,-0.688509,-0.377937,1.204493,0.702301,0,0,0
-0.793692,1.285654,-0.688364,-0.382296,1.239605,0.702241,0,0,0
-0.800464,1.277462,-0.688218,-0.386652,1.274714,0.702181,0,0,0
-0.807246,1.269176,-0.688069,-0.391004,1.30982,0.702122,0,0,0
-0.814039,1.260798,-0.687919,-0.395353,1.344923,0.702062,0,0,0
-0.820843,1.252327,-0.687768,-0.399698,1.380023,0.702003,0,0,0
-0.827657,1.243761,-0.687616,-0.40404,1.41512,0.701943,0,0,3
-0.834462,1.235204,-0.685204,-0.402217,1.447848,0.654558,0,0,3
-0.841276,1.226645,-0.68472,-0.400964,1.478473,0.612497,0,0,3
-0.848091,1.218079,-0.683828,-0.399956,1.507077,0.572069,0,0,3
-0.854907,1.209501,-0.682992,-0.399229,1.533767,0.533802,0,0,3
-0.861723,1.200917,-0.682295,-0.398158,1.558417,0.493006,0,0,3
-0.868545,1.192355,-0.682239,-0.395366,1.580382,0.439309,0,0,3
-0.875377,1.183814,-0.68282,-0.392621,1.599681,0.385962,0,0,3
-0.882216,1.175284,-0.683291,-0.390503,1.616547,0.33733,0,0,3
-0.889056,1.166777,-0.68329,-0.387657,1.630712,0.283306,0,0,3
-0.8959,1.158283,-0.683569,-0.38534,1.642374,0.23324,0,0,3
-0.902742,1.149812,-0.68351,-0.382538,1.651356,0.17964,0,0,3
-0.909593,1.141342,-0.684551,-0.381041,1.658134,0.135553,0,0,3
-0.916455,1.132886,-0.685787,-0.378633,1.662361,0.084541,0,0,3
-0.923321,1.124434,-0.686431,-0.376967,1.664327,0.039323,0,0,3
-0.930196,1.116019,-0.687635,-0.373331,1.663282,-0.020909,0,0,3
-0.93708,1.10759,-0.688683,-0.37262,1.660327,-0.059095,0,0,3
-0.943968,1.099195,-0.68931,-0.369127,1.654424,-0.118047,0,0,3
-0.950863,1.090827,-0.690138,-0.366085,1.64574,-0.173683,0,0,3
-0.957763,1.082457,-0.690812,-0.364661,1.634885,-0.217113,0,0,3
-0.964668,1.074099,-0.69126,-0.362495,1.621581,-0.266068,0,0,3
-0.97157,1.065742,-0.690963,-0.361009,1.606093,-0.30976,0,0,3
-0.978483,1.057409,-0.691709,-0.357983,1.58783,-0.365258,0,0,3
-0.985394,1.049118,-0.691282,-0.354099,1.566474,-0.427121,0,0,3
-0.992306,1.040832,-0.69088,-0.352275,1.542801,-0.473473,0,0,2
-0.007763,1.403826,-0.786292,-0.315336,0.009002,0.178107,0,0,0
-0.015526,1.396658,-0.785229,-0.318637,0.017803,0.176034,0,0,0
-0.02329,1.389394,-0.785256,-0.322986,0.026598,0.17593,0,0,0
-0.031053,1.382034,-0.785282,-0.327317,0.035393,0.175907,0,0,0
-0.038818,1.374577,-0.785308,-0.331644,0.044186,0.175879,0,0,0
-0.046582,1.367024,-0.785334,-0.335971,0.052978,0.175851,0,0,0
